## Cluster data 
Fraction	Trial	Configuration #	#DDT	DDT Fraction	#PEG	PEG Fraction	Total Fraction of Surface Covered
0.20	1	4	[102]	[0.699]	[6, 8, 3, 4, 4]	[0.044, 0.050, 0.022, 0.025, 0.028]	0.8674
0.20	1	5	[102]	[0.699]	[4, 3, 10, 8]	[0.025, 0.022, 0.069, 0.052]	0.8674
0.20	1	6	[102]	[0.707]	[8, 1, 3, 4, 6, 3]	[0.052, 0.008, 0.019, 0.025, 0.036, 0.025]	0.8729
0.20	1	7	[102]	[0.715]	[6, 8, 4, 1, 3, 3]	[0.039, 0.052, 0.025, 0.008, 0.017, 0.022]	0.8785
0.20	1	8	[102]	[0.707]	[10, 1, 4, 7, 3]	[0.069, 0.006, 0.025, 0.050, 0.022]	0.8785
0.20	1	9	[102]	[0.710]	[4, 7, 3, 1, 10]	[0.025, 0.047, 0.019, 0.006, 0.069]	0.8757
0.20	1	10	[102]	[0.699]	[1, 10, 4, 3, 7]	[0.006, 0.069, 0.025, 0.022, 0.047]	0.8674
0.20	2	1	[102]	[0.702]	[1, 4, 11, 1, 3, 3, 2]	[0.006, 0.022, 0.072, 0.006, 0.017, 0.014, 0.014]	0.8508
0.20	2	2	[101, 1]	[0.693, 0.006]	[6, 3, 3, 10, 1, 2]	[0.030, 0.019, 0.017, 0.069, 0.006, 0.011]	0.8508
0.20	2	3	[1, 101]	[0.008, 0.702]	[3, 6, 15, 1]	[0.017, 0.030, 0.097, 0.006]	0.8591
0.20	2	4	[101, 1]	[0.685, 0.008]	[1, 1, 11, 3, 6, 3]	[0.006, 0.006, 0.077, 0.019, 0.039, 0.017]	0.8564
0.20	2	5	[100, 2]	[0.696, 0.017]	[4, 7, 10, 3, 1]	[0.028, 0.044, 0.061, 0.017, 0.006]	0.8674
0.20	2	6	[1, 101]	[0.006, 0.704]	[1, 3, 11, 3, 5, 1, 1]	[0.003, 0.017, 0.075, 0.017, 0.036, 0.006, 0.008]	0.8702
0.20	2	7	[101, 1]	[0.707, 0.006]	[11, 1, 3, 1, 3, 1, 5]	[0.075, 0.003, 0.017, 0.008, 0.017, 0.006, 0.030]	0.8674
0.20	2	8	[1, 101]	[0.006, 0.707]	[1, 3, 1, 9, 3, 1, 7]	[0.006, 0.017, 0.008, 0.061, 0.017, 0.006, 0.041]	0.8674
0.20	2	9	[102]	[0.721]	[1, 3, 5, 1, 11, 3, 1]	[0.008, 0.019, 0.030, 0.006, 0.072, 0.017, 0.006]	0.8785
0.20	2	10	[102]	[0.721]	[11, 5, 1, 3, 3, 1, 1]	[0.072, 0.028, 0.006, 0.017, 0.019, 0.006, 0.006]	0.8729
0.20	3	1	[102]	[0.685]	[5, 1, 4, 1, 1, 11, 2]	[0.030, 0.008, 0.025, 0.006, 0.006, 0.080, 0.017]	0.8564
0.20	3	2	[102]	[0.680]	[4, 2, 1, 5, 1, 11, 1]	[0.019, 0.017, 0.006, 0.028, 0.008, 0.083, 0.006]	0.8453
0.20	3	3	[102]	[0.685]	[1, 5, 11, 2, 1, 1, 4]	[0.006, 0.030, 0.080, 0.017, 0.008, 0.006, 0.022]	0.8536
0.20	3	4	[102]	[0.688]	[2, 11, 5, 1, 1, 1, 4]	[0.014, 0.075, 0.030, 0.006, 0.008, 0.006, 0.022]	0.8481
0.20	3	5	[102]	[0.688]	[4, 1, 4, 5, 11]	[0.025, 0.006, 0.028, 0.036, 0.077]	0.8591
0.20	3	6	[102]	[0.696]	[4, 1, 10, 5, 4, 1]	[0.025, 0.008, 0.066, 0.030, 0.030, 0.006]	0.8619
0.20	3	7	[102]	[0.702]	[4, 10, 1, 1, 4, 5]	[0.028, 0.066, 0.006, 0.008, 0.028, 0.030]	0.8674
0.20	3	8	[102]	[0.688]	[4, 4, 5, 1, 11]	[0.028, 0.022, 0.030, 0.006, 0.083]	0.8564
0.20	3	9	[102]	[0.688]	[5, 10, 4, 4, 1, 1]	[0.030, 0.072, 0.028, 0.030, 0.006, 0.008]	0.8619
0.20	3	10	[102]	[0.688]	[1, 4, 4, 5, 11]	[0.006, 0.028, 0.025, 0.033, 0.077]	0.8564
0.20	4	1	[102]	[0.699]	[1, 1, 16, 1, 3, 1, 1, 1]	[0.008, 0.006, 0.113, 0.006, 0.019, 0.006, 0.003, 0.003]	0.8619
0.20	4	2	[102]	[0.696]	[16, 3, 1, 1, 1, 1, 1, 1]	[0.110, 0.019, 0.006, 0.006, 0.006, 0.008, 0.006, 0.006]	0.8619
0.20	4	3	[102]	[0.693]	[1, 3, 1, 1, 1, 1, 16, 1]	[0.006, 0.017, 0.006, 0.006, 0.008, 0.003, 0.116, 0.006]	0.8591
0.20	4	4	[102]	[0.699]	[1, 1, 1, 1, 1, 17, 3]	[0.006, 0.006, 0.003, 0.006, 0.008, 0.116, 0.019]	0.8619
0.20	4	5	[102]	[0.713]	[1, 3, 1, 1, 1, 17, 1]	[0.003, 0.019, 0.006, 0.006, 0.008, 0.113, 0.006]	0.8729
0.20	4	6	[102]	[0.693]	[1, 1, 1, 3, 1, 1, 17]	[0.006, 0.006, 0.006, 0.019, 0.006, 0.003, 0.119]	0.8564
0.20	4	7	[102]	[0.702]	[1, 1, 3, 17, 1, 1, 1]	[0.003, 0.006, 0.019, 0.119, 0.006, 0.008, 0.006]	0.8674
0.20	4	8	[102]	[0.707]	[1, 1, 1, 17, 1, 3, 1]	[0.006, 0.006, 0.008, 0.116, 0.003, 0.019, 0.006]	0.8702
0.20	4	9	[102]	[0.702]	[1, 1, 1, 2, 1, 19]	[0.006, 0.008, 0.003, 0.014, 0.006, 0.127]	0.8646
0.20	4	10	[102]	[0.688]	[1, 1, 1, 2, 1, 19]	[0.006, 0.006, 0.008, 0.014, 0.006, 0.133]	0.8591
0.20	5	1	[102]	[0.699]	[7, 1, 1, 1, 13, 2]	[0.050, 0.003, 0.006, 0.006, 0.086, 0.014]	0.8619
0.20	5	2	[102]	[0.699]	[1, 1, 13, 1, 2, 7]	[0.003, 0.006, 0.086, 0.006, 0.011, 0.052]	0.8619
0.20	5	3	[102]	[0.702]	[1, 1, 1, 1, 8, 13]	[0.008, 0.003, 0.008, 0.008, 0.061, 0.086]	0.8757
0.20	5	4	[102]	[0.704]	[13, 1, 1, 8, 1, 1]	[0.086, 0.008, 0.003, 0.055, 0.008, 0.008]	0.8729
0.20	5	5	[102]	[0.702]	[1, 1, 1, 13, 8, 1]	[0.008, 0.006, 0.008, 0.086, 0.058, 0.008]	0.8757
0.20	5	6	[102]	[0.693]	[13, 1, 1, 8, 1, 1]	[0.088, 0.003, 0.008, 0.055, 0.008, 0.008]	0.8646
0.20	5	7	[102]	[0.685]	[1, 1, 1, 8, 12, 1, 1]	[0.008, 0.008, 0.006, 0.055, 0.083, 0.008, 0.008]	0.8619
0.20	5	8	[102]	[0.693]	[1, 13, 1, 8, 1, 1]	[0.003, 0.088, 0.008, 0.055, 0.008, 0.006]	0.8619
0.20	5	9	[102]	[0.693]	[1, 13, 1, 8, 1, 1]	[0.008, 0.088, 0.006, 0.058, 0.008, 0.006]	0.8674
0.20	5	10	[102]	[0.696]	[1, 13, 8, 1, 1, 1]	[0.003, 0.088, 0.055, 0.008, 0.008, 0.008]	0.8674
0.20	6	1	[1, 1, 100]	[0.006, 0.008, 0.713]	[15, 1, 1, 1, 1, 3, 2, 1]	[0.099, 0.006, 0.006, 0.006, 0.006, 0.017, 0.008, 0.006]	0.8785
0.20	6	2	[1, 100, 1]	[0.008, 0.702, 0.008]	[3, 1, 1, 2, 1, 15, 1, 1]	[0.017, 0.006, 0.006, 0.011, 0.006, 0.097, 0.006, 0.008]	0.8729
0.20	6	3	[100, 1, 1]	[0.702, 0.008, 0.008]	[3, 1, 3, 1, 1, 1, 15]	[0.017, 0.003, 0.017, 0.006, 0.006, 0.006, 0.099]	0.8702
0.20	6	4	[101, 1]	[0.704, 0.006]	[1, 15, 1, 1, 2, 3, 1, 1]	[0.006, 0.102, 0.006, 0.003, 0.011, 0.017, 0.006, 0.006]	0.8646
0.20	6	5	[1, 101]	[0.008, 0.713]	[15, 1, 1, 1, 1, 2, 3, 1]	[0.102, 0.006, 0.006, 0.006, 0.008, 0.011, 0.017, 0.003]	0.8785
0.20	6	6	[100, 1, 1]	[0.704, 0.008, 0.008]	[1, 1, 19, 3, 1]	[0.008, 0.003, 0.122, 0.017, 0.006]	0.8757
0.20	6	7	[1, 1, 100]	[0.008, 0.008, 0.702]	[1, 19, 1, 1, 3]	[0.008, 0.127, 0.006, 0.003, 0.017]	0.8785
0.20	6	8	[1, 101]	[0.008, 0.707]	[1, 1, 3, 1, 19]	[0.008, 0.006, 0.017, 0.003, 0.133]	0.8812
0.20	6	9	[1, 101]	[0.008, 0.710]	[19, 1, 3, 1, 1]	[0.119, 0.006, 0.017, 0.003, 0.006]	0.8674
0.20	6	10	[101, 1]	[0.704, 0.008]	[1, 1, 1, 1, 19, 2]	[0.006, 0.006, 0.006, 0.003, 0.124, 0.011]	0.8674
0.20	1	1	[102]	[0.696]	[1, 12, 3, 1, 8]	[0.008, 0.077, 0.019, 0.006, 0.047]	0.8536
0.20	1	2	[102]	[0.693]	[1, 9, 1, 1, 12, 1]	[0.008, 0.055, 0.008, 0.003, 0.080, 0.008]	0.8564
0.20	1	3	[102]	[0.693]	[1, 1, 9, 1, 1, 12]	[0.006, 0.008, 0.058, 0.008, 0.006, 0.083]	0.8619
0.20	1	4	[102]	[0.699]	[1, 1, 12, 1, 1, 9]	[0.008, 0.006, 0.077, 0.008, 0.006, 0.055]	0.8591
0.20	1	5	[102]	[0.696]	[1, 1, 1, 12, 9, 1]	[0.006, 0.006, 0.008, 0.080, 0.058, 0.008]	0.8619
0.20	1	6	[102]	[0.696]	[12, 1, 9, 1, 1, 1]	[0.083, 0.008, 0.055, 0.008, 0.006, 0.006]	0.8619
0.20	1	7	[102]	[0.691]	[1, 9, 1, 12, 1, 1]	[0.006, 0.061, 0.006, 0.080, 0.008, 0.008]	0.8591
0.20	1	8	[102]	[0.685]	[1, 9, 1, 1, 12, 1]	[0.006, 0.064, 0.008, 0.008, 0.075, 0.006]	0.8508
0.20	1	9	[102]	[0.682]	[1, 1, 1, 1, 9, 12]	[0.008, 0.006, 0.008, 0.008, 0.061, 0.077]	0.8508
0.20	1	10	[102]	[0.674]	[6, 2, 6, 1, 9, 1]	[0.039, 0.014, 0.039, 0.008, 0.064, 0.008]	0.8453
0.20	2	1	[101, 1]	[0.696, 0.008]	[3, 3, 4, 2, 1, 8, 2, 1, 1]	[0.019, 0.019, 0.028, 0.017, 0.006, 0.058, 0.011, 0.003, 0.006]	0.8702
0.20	2	2	[1, 101]	[0.008, 0.702]	[4, 1, 4, 2, 2, 3, 1, 8]	[0.030, 0.006, 0.025, 0.011, 0.017, 0.019, 0.006, 0.058]	0.8812
0.20	2	3	[101, 1]	[0.693, 0.008]	[3, 1, 2, 11, 1, 4, 2, 1]	[0.019, 0.006, 0.014, 0.075, 0.006, 0.030, 0.017, 0.003]	0.8702
0.20	2	4	[1, 101]	[0.008, 0.699]	[4, 7, 3, 3, 1, 4, 2, 1]	[0.028, 0.050, 0.019, 0.019, 0.006, 0.028, 0.014, 0.006]	0.8757
0.20	2	5	[102]	[0.693]	[7, 3, 5, 1, 2, 3, 4]	[0.052, 0.019, 0.036, 0.006, 0.017, 0.019, 0.025]	0.8674
0.20	2	6	[102]	[0.688]	[7, 3, 2, 5, 4, 3, 1]	[0.052, 0.017, 0.017, 0.039, 0.028, 0.017, 0.006]	0.8619
0.20	2	7	[102]	[0.691]	[3, 7, 5, 3, 2, 4, 1]	[0.019, 0.052, 0.030, 0.017, 0.017, 0.025, 0.006]	0.8564
0.20	2	8	[102]	[0.710]	[2, 4, 5, 3, 3, 7, 1]	[0.017, 0.025, 0.033, 0.019, 0.019, 0.052, 0.006]	0.8812
0.20	2	9	[102]	[0.696]	[3, 5, 1, 4, 2, 3, 7]	[0.017, 0.036, 0.006, 0.025, 0.017, 0.019, 0.052]	0.8674
0.20	2	10	[102]	[0.702]	[1, 3, 3, 5, 2, 7, 4]	[0.006, 0.017, 0.017, 0.036, 0.014, 0.047, 0.025]	0.8619
0.20	3	1	[102]	[0.693]	[4, 15, 1, 1, 2, 1, 1]	[0.022, 0.105, 0.006, 0.003, 0.017, 0.006, 0.008]	0.8591
0.20	3	2	[102]	[0.693]	[1, 15, 1, 1, 4, 1, 2]	[0.006, 0.110, 0.006, 0.006, 0.025, 0.003, 0.014]	0.8619
0.20	3	3	[102]	[0.702]	[4, 15, 1, 1, 1, 2, 1]	[0.028, 0.102, 0.003, 0.006, 0.006, 0.014, 0.008]	0.8674
0.20	3	4	[102]	[0.710]	[1, 1, 4, 1, 1, 15, 2]	[0.006, 0.006, 0.019, 0.006, 0.003, 0.097, 0.014]	0.8591
0.20	3	5	[102]	[0.713]	[1, 15, 4, 1, 2, 1, 1]	[0.006, 0.105, 0.022, 0.003, 0.014, 0.006, 0.003]	0.8702
0.20	3	6	[102]	[0.715]	[3, 2, 1, 1, 1, 15, 1, 1]	[0.014, 0.014, 0.006, 0.006, 0.008, 0.110, 0.006, 0.003]	0.8812
0.20	3	7	[102]	[0.704]	[15, 3, 1, 1, 1, 2, 1, 1]	[0.099, 0.017, 0.008, 0.006, 0.006, 0.014, 0.003, 0.006]	0.8619
0.20	3	8	[102]	[0.718]	[1, 2, 1, 16, 3, 1, 1]	[0.008, 0.011, 0.006, 0.110, 0.017, 0.003, 0.008]	0.8812
0.20	3	9	[102]	[0.710]	[1, 15, 1, 1, 2, 3, 1, 1]	[0.006, 0.099, 0.006, 0.003, 0.014, 0.017, 0.008, 0.006]	0.8674
0.20	3	10	[102]	[0.696]	[1, 1, 1, 3, 1, 1, 15, 2]	[0.006, 0.006, 0.008, 0.019, 0.006, 0.008, 0.105, 0.011]	0.8646
0.20	4	1	[102]	[0.704]	[1, 1, 12, 1, 1, 3, 2, 2, 2]	[0.006, 0.008, 0.083, 0.008, 0.006, 0.014, 0.008, 0.008, 0.014]	0.8591
0.20	4	2	[102]	[0.693]	[2, 1, 1, 1, 1, 1, 1, 3, 2, 12]	[0.014, 0.006, 0.008, 0.006, 0.006, 0.008, 0.008, 0.017, 0.008, 0.083]	0.8564
0.20	4	3	[102]	[0.702]	[1, 1, 1, 1, 12, 2, 1, 3, 2, 1]	[0.008, 0.008, 0.008, 0.006, 0.083, 0.011, 0.008, 0.017, 0.014, 0.003]	0.8674
0.20	4	4	[102]	[0.691]	[1, 1, 1, 1, 3, 1, 2, 2, 12, 1]	[0.003, 0.006, 0.008, 0.008, 0.017, 0.006, 0.011, 0.014, 0.088, 0.006]	0.8564
0.20	4	5	[102]	[0.710]	[1, 2, 1, 1, 1, 1, 3, 1, 12, 2]	[0.006, 0.014, 0.006, 0.006, 0.008, 0.008, 0.017, 0.008, 0.086, 0.011]	0.8785
0.20	4	6	[102]	[0.710]	[1, 3, 1, 1, 1, 2, 1, 12, 2, 1]	[0.008, 0.017, 0.003, 0.006, 0.008, 0.008, 0.008, 0.080, 0.014, 0.008]	0.8702
0.20	4	7	[102]	[0.707]	[2, 1, 1, 12, 1, 1, 1, 2, 2, 1, 1]	[0.011, 0.006, 0.006, 0.080, 0.003, 0.006, 0.008, 0.011, 0.014, 0.006, 0.006]	0.8619
0.20	4	8	[102]	[0.704]	[2, 2, 1, 12, 1, 2, 1, 1, 1, 2]	[0.014, 0.011, 0.008, 0.083, 0.006, 0.011, 0.008, 0.003, 0.003, 0.014]	0.8646
0.20	4	9	[102]	[0.696]	[12, 1, 2, 2, 3, 1, 1, 1, 1, 1]	[0.083, 0.006, 0.011, 0.014, 0.019, 0.008, 0.008, 0.003, 0.003, 0.008]	0.8591
0.20	4	10	[102]	[0.704]	[1, 1, 1, 2, 12, 2, 1, 1, 1, 3]	[0.006, 0.008, 0.006, 0.008, 0.083, 0.008, 0.006, 0.008, 0.006, 0.014]	0.8564
0.20	5	1	[102]	[0.696]	[17, 3, 2, 3]	[0.119, 0.017, 0.014, 0.017]	0.8619
0.20	5	2	[102]	[0.702]	[3, 17, 2, 3]	[0.019, 0.116, 0.011, 0.017]	0.8646
0.20	5	3	[102]	[0.707]	[3, 17, 2, 3]	[0.019, 0.116, 0.011, 0.017]	0.8702
0.20	5	4	[102]	[0.704]	[3, 3, 2, 17]	[0.019, 0.017, 0.011, 0.113]	0.8646
0.20	5	5	[102]	[0.707]	[3, 2, 17, 3]	[0.017, 0.011, 0.119, 0.019]	0.8729
0.20	5	6	[102]	[0.718]	[2, 3, 17, 3]	[0.014, 0.017, 0.110, 0.017]	0.8757
0.20	5	7	[102]	[0.710]	[17, 2, 3, 3]	[0.113, 0.014, 0.014, 0.019]	0.8702
0.20	5	8	[102]	[0.713]	[17, 3, 2, 3]	[0.113, 0.014, 0.014, 0.019]	0.8729
0.20	5	9	[102]	[0.710]	[3, 3, 2, 17]	[0.017, 0.017, 0.011, 0.116]	0.8702
0.20	5	10	[102]	[0.707]	[2, 3, 3, 17]	[0.011, 0.019, 0.014, 0.116]	0.8674
0.20	6	1	[101, 1]	[0.693, 0.008]	[1, 17, 1, 1, 1, 1, 1, 1, 1]	[0.008, 0.113, 0.008, 0.006, 0.006, 0.008, 0.006, 0.006, 0.003]	0.8646
0.20	6	2	[101, 1]	[0.685, 0.008]	[1, 1, 1, 17, 1, 1, 1, 1, 1]	[0.008, 0.008, 0.008, 0.110, 0.003, 0.008, 0.006, 0.008, 0.003]	0.8564
0.20	6	3	[101, 1]	[0.688, 0.008]	[1, 1, 1, 17, 1, 1, 1, 1, 1]	[0.006, 0.008, 0.008, 0.113, 0.008, 0.008, 0.003, 0.006, 0.008]	0.8646
0.20	6	4	[1, 101]	[0.008, 0.685]	[1, 1, 1, 1, 1, 17, 1, 1, 1]	[0.003, 0.008, 0.006, 0.003, 0.006, 0.116, 0.008, 0.008, 0.006]	0.8564
0.20	6	5	[101, 1]	[0.699, 0.008]	[1, 1, 17, 1, 1, 1, 1, 1, 1]	[0.006, 0.006, 0.116, 0.006, 0.008, 0.008, 0.006, 0.003, 0.006]	0.8702
0.20	6	6	[101, 1]	[0.691, 0.008]	[1, 17, 1, 1, 1, 1, 1, 1, 1]	[0.008, 0.108, 0.006, 0.003, 0.008, 0.008, 0.008, 0.008, 0.008]	0.8646
0.20	6	7	[101, 1]	[0.696, 0.008]	[1, 1, 1, 1, 1, 1, 1, 17, 1]	[0.008, 0.008, 0.006, 0.003, 0.008, 0.006, 0.008, 0.110, 0.006]	0.8674
0.20	6	8	[101, 1]	[0.699, 0.006]	[1, 1, 1, 1, 1, 17, 1, 1, 1]	[0.006, 0.006, 0.008, 0.008, 0.008, 0.110, 0.006, 0.006, 0.003]	0.8646
0.20	6	9	[1, 101]	[0.006, 0.691]	[1, 1, 17, 1, 1, 1, 1, 1, 1]	[0.008, 0.008, 0.113, 0.006, 0.003, 0.008, 0.008, 0.006, 0.008]	0.8646
0.20	6	10	[101, 1]	[0.699, 0.008]	[1, 1, 1, 1, 1, 18, 1, 1]	[0.008, 0.006, 0.008, 0.003, 0.006, 0.119, 0.006, 0.006]	0.8674
0.20	1	1	[102]	[0.715]	[1, 4, 3, 3, 5, 1, 1, 3, 4]	[0.006, 0.019, 0.019, 0.017, 0.036, 0.006, 0.006, 0.019, 0.028]	0.8702
0.20	1	2	[102]	[0.713]	[1, 5, 4, 4, 3, 5, 2, 1]	[0.006, 0.025, 0.028, 0.022, 0.017, 0.036, 0.011, 0.006]	0.8619
0.20	1	3	[102]	[0.724]	[5, 1, 2, 4, 5, 1, 4, 3]	[0.036, 0.006, 0.014, 0.025, 0.028, 0.006, 0.025, 0.019]	0.8812
0.20	1	4	[102]	[0.729]	[5, 4, 1, 2, 1, 5, 3, 4]	[0.033, 0.028, 0.006, 0.014, 0.006, 0.028, 0.017, 0.025]	0.8840
0.20	1	5	[102]	[0.710]	[1, 2, 4, 3, 5, 5, 4, 1]	[0.006, 0.011, 0.028, 0.017, 0.028, 0.036, 0.028, 0.008]	0.8702
0.20	1	6	[102]	[0.710]	[5, 4, 4, 1, 2, 3, 1, 5]	[0.036, 0.028, 0.025, 0.008, 0.008, 0.017, 0.006, 0.028]	0.8646
0.20	1	7	[102]	[0.710]	[2, 1, 4, 5, 5, 1, 4, 3]	[0.014, 0.006, 0.028, 0.028, 0.036, 0.006, 0.022, 0.017]	0.8646
0.20	1	8	[102]	[0.707]	[4, 3, 1, 5, 1, 4, 2, 5]	[0.022, 0.019, 0.006, 0.036, 0.006, 0.030, 0.014, 0.028]	0.8674
0.20	1	9	[102]	[0.713]	[5, 1, 5, 4, 2, 4, 1, 3]	[0.028, 0.006, 0.036, 0.022, 0.014, 0.030, 0.006, 0.019]	0.8729
0.20	1	10	[102]	[0.707]	[1, 4, 1, 5, 3, 1, 3, 2, 5]	[0.006, 0.030, 0.008, 0.028, 0.019, 0.006, 0.017, 0.014, 0.036]	0.8702
0.20	2	1	[102]	[0.691]	[1, 1, 14, 8, 1]	[0.008, 0.008, 0.094, 0.064, 0.008]	0.8729
0.20	2	2	[102]	[0.693]	[9, 14, 2]	[0.066, 0.097, 0.011]	0.8674
0.20	2	3	[102]	[0.702]	[8, 14, 2, 1]	[0.058, 0.091, 0.014, 0.008]	0.8729
0.20	2	4	[102]	[0.699]	[1, 2, 14, 8]	[0.008, 0.017, 0.094, 0.058]	0.8757
0.20	2	5	[102]	[0.693]	[9, 2, 14]	[0.066, 0.017, 0.097]	0.8729
0.20	2	6	[102]	[0.699]	[2, 14, 9]	[0.017, 0.102, 0.069]	0.8867
0.20	2	7	[102]	[0.693]	[1, 14, 2, 8]	[0.008, 0.094, 0.017, 0.058]	0.8702
0.20	2	8	[102]	[0.699]	[14, 7, 2, 2]	[0.099, 0.052, 0.014, 0.014]	0.8785
0.20	2	9	[102]	[0.699]	[1, 1, 14, 7, 2]	[0.008, 0.006, 0.102, 0.052, 0.014]	0.8812
0.20	2	10	[102]	[0.696]	[15, 1, 7, 2]	[0.105, 0.008, 0.052, 0.014]	0.8757
0.20	3	1	[102]	[0.702]	[10, 1, 1, 1, 1, 7, 1, 3]	[0.064, 0.006, 0.003, 0.003, 0.008, 0.047, 0.006, 0.022]	0.8591
0.20	3	2	[102]	[0.699]	[3, 10, 1, 1, 1, 7, 1, 1]	[0.025, 0.061, 0.006, 0.008, 0.003, 0.047, 0.008, 0.008]	0.8646
0.20	3	3	[102]	[0.693]	[1, 1, 7, 10, 1, 1, 3, 1]	[0.008, 0.003, 0.047, 0.066, 0.008, 0.008, 0.025, 0.006]	0.8646
0.20	3	4	[102]	[0.699]	[1, 1, 1, 1, 10, 7, 1, 3]	[0.006, 0.008, 0.003, 0.008, 0.064, 0.047, 0.006, 0.025]	0.8646
0.20	3	5	[102]	[0.707]	[1, 1, 1, 10, 1, 3, 1, 7]	[0.003, 0.006, 0.008, 0.061, 0.006, 0.025, 0.008, 0.050]	0.8729
0.20	3	6	[102]	[0.704]	[3, 1, 1, 10, 1, 7, 1, 1]	[0.025, 0.008, 0.008, 0.058, 0.003, 0.050, 0.006, 0.008]	0.8702
0.20	3	7	[102]	[0.704]	[1, 1, 3, 10, 3, 1, 1, 4, 1]	[0.006, 0.003, 0.025, 0.061, 0.022, 0.003, 0.008, 0.028, 0.006]	0.8646
0.20	3	8	[102]	[0.704]	[1, 3, 1, 7, 1, 1, 1, 10]	[0.003, 0.025, 0.008, 0.047, 0.003, 0.003, 0.003, 0.061]	0.8564
0.20	3	9	[102]	[0.710]	[1, 10, 7, 1, 1, 1, 1, 3]	[0.008, 0.058, 0.050, 0.003, 0.003, 0.008, 0.003, 0.022]	0.8646
0.20	3	10	[102]	[0.715]	[3, 1, 1, 10, 7, 1, 1, 1]	[0.025, 0.003, 0.006, 0.058, 0.047, 0.008, 0.003, 0.008]	0.8729
0.20	4	1	[102]	[0.696]	[12, 1, 2, 4, 1, 1, 2, 1, 1]	[0.083, 0.006, 0.011, 0.028, 0.003, 0.008, 0.008, 0.003, 0.008]	0.8536
0.20	4	2	[102]	[0.696]	[1, 4, 2, 2, 1, 1, 1, 1, 12]	[0.003, 0.022, 0.008, 0.011, 0.008, 0.008, 0.003, 0.006, 0.077]	0.8425
0.20	4	3	[102]	[0.693]	[12, 4, 1, 2, 1, 2, 1, 1, 1]	[0.083, 0.025, 0.008, 0.011, 0.008, 0.011, 0.003, 0.003, 0.006]	0.8508
0.20	4	4	[102]	[0.702]	[1, 1, 2, 1, 2, 1, 12, 1, 4]	[0.006, 0.008, 0.011, 0.008, 0.011, 0.006, 0.080, 0.003, 0.022]	0.8564
0.20	4	5	[102]	[0.693]	[1, 1, 2, 1, 4, 12, 1, 1, 2]	[0.006, 0.003, 0.011, 0.008, 0.025, 0.080, 0.006, 0.008, 0.011]	0.8508
0.20	4	6	[102]	[0.707]	[1, 12, 2, 1, 2, 1, 1, 4, 1]	[0.006, 0.077, 0.011, 0.006, 0.011, 0.008, 0.003, 0.025, 0.008]	0.8619
0.20	4	7	[1, 101]	[0.008, 0.699]	[1, 1, 1, 2, 17, 1, 2]	[0.008, 0.008, 0.006, 0.008, 0.108, 0.003, 0.011]	0.8591
0.20	4	8	[101, 1]	[0.682, 0.008]	[1, 1, 1, 2, 18, 1, 1]	[0.006, 0.006, 0.008, 0.011, 0.122, 0.008, 0.008]	0.8591
0.20	4	9	[1, 101]	[0.008, 0.674]	[1, 2, 1, 1, 1, 18, 1]	[0.006, 0.011, 0.003, 0.008, 0.008, 0.119, 0.008]	0.8453
0.20	4	10	[1, 101]	[0.008, 0.671]	[1, 2, 1, 1, 18, 1, 1]	[0.006, 0.011, 0.006, 0.008, 0.116, 0.006, 0.008]	0.8398
0.20	5	1	[102]	[0.702]	[1, 12, 1, 5, 1, 5]	[0.006, 0.083, 0.006, 0.030, 0.008, 0.030]	0.8646
0.20	5	2	[102]	[0.704]	[1, 5, 12, 1, 1, 1, 4]	[0.006, 0.033, 0.080, 0.008, 0.006, 0.008, 0.025]	0.8702
0.20	5	3	[102]	[0.699]	[1, 1, 1, 12, 4, 5, 1]	[0.008, 0.006, 0.008, 0.083, 0.025, 0.030, 0.008]	0.8674
0.20	5	4	[102]	[0.699]	[4, 1, 1, 12, 5, 1, 1]	[0.025, 0.008, 0.006, 0.080, 0.030, 0.006, 0.008]	0.8619
0.20	5	5	[102]	[0.713]	[1, 12, 1, 4, 1, 5, 1]	[0.008, 0.080, 0.008, 0.028, 0.008, 0.028, 0.003]	0.8757
0.20	5	6	[102]	[0.704]	[5, 1, 1, 5, 1, 12]	[0.030, 0.008, 0.003, 0.033, 0.008, 0.080]	0.8674
0.20	5	7	[102]	[0.704]	[1, 1, 5, 1, 5, 12]	[0.008, 0.006, 0.030, 0.006, 0.033, 0.077]	0.8646
0.20	5	8	[102]	[0.710]	[4, 12, 2, 5, 1, 1]	[0.022, 0.083, 0.011, 0.030, 0.008, 0.008]	0.8729
0.20	5	9	[102]	[0.715]	[2, 13, 2, 1, 1, 1, 4, 1]	[0.011, 0.088, 0.011, 0.008, 0.008, 0.008, 0.022, 0.008]	0.8812
0.20	5	10	[102]	[0.718]	[1, 1, 1, 3, 13, 4, 2]	[0.006, 0.008, 0.006, 0.019, 0.088, 0.022, 0.011]	0.8785
0.20	6	1	[102]	[0.691]	[16, 2, 2, 4, 1]	[0.108, 0.014, 0.011, 0.022, 0.008]	0.8536
0.20	6	2	[102]	[0.691]	[1, 1, 19, 4]	[0.006, 0.008, 0.130, 0.022]	0.8564
0.20	6	3	[1, 101]	[0.008, 0.699]	[4, 1, 1, 18, 1]	[0.022, 0.008, 0.008, 0.127, 0.003]	0.8757
0.20	6	4	[102]	[0.699]	[1, 18, 1, 4, 1]	[0.008, 0.127, 0.008, 0.022, 0.006]	0.8702
