## Cluster data 
Fraction	Trial	Configuration #	#DDT	DDT Fraction	#PEG	PEG Fraction	Total Fraction of Surface Covered
0.10	5	5	[111]	[0.771]	[1, 1, 1, 1, 1, 1, 1, 1, 4]	[0.006, 0.006, 0.006, 0.006, 0.003, 0.006, 0.008, 0.006, 0.030]	0.8453
0.10	5	6	[111]	[0.776]	[1, 1, 1, 1, 4, 1, 1, 1, 1]	[0.003, 0.008, 0.006, 0.006, 0.028, 0.006, 0.006, 0.006, 0.006]	0.8481
0.10	5	7	[111]	[0.771]	[4, 1, 1, 1, 1, 1, 1, 1, 1]	[0.028, 0.006, 0.008, 0.006, 0.006, 0.006, 0.003, 0.006, 0.006]	0.8425
0.10	5	8	[111]	[0.776]	[1, 4, 1, 1, 1, 1, 1, 1, 1]	[0.006, 0.028, 0.006, 0.006, 0.008, 0.006, 0.006, 0.006, 0.006]	0.8508
0.10	5	9	[111]	[0.768]	[1, 1, 1, 1, 1, 1, 3, 1, 1, 1]	[0.006, 0.006, 0.008, 0.006, 0.006, 0.006, 0.019, 0.008, 0.008, 0.003]	0.8425
0.10	5	10	[111]	[0.771]	[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]	[0.006, 0.006, 0.006, 0.006, 0.008, 0.006, 0.008, 0.006, 0.019, 0.006]	0.8453
0.10	6	1	[111]	[0.773]	[1, 2, 1, 1, 7]	[0.006, 0.011, 0.008, 0.006, 0.044]	0.8481
0.10	6	2	[111]	[0.771]	[1, 1, 2, 7, 1]	[0.006, 0.006, 0.011, 0.044, 0.008]	0.8453
0.10	6	3	[111]	[0.771]	[8, 1, 2, 1]	[0.052, 0.008, 0.008, 0.008]	0.8481
0.10	6	4	[111]	[0.768]	[2, 1, 8, 1]	[0.008, 0.008, 0.050, 0.008]	0.8425
0.10	6	5	[111]	[0.757]	[2, 1, 5, 3, 1]	[0.014, 0.008, 0.030, 0.017, 0.006]	0.8315
0.10	6	6	[111]	[0.754]	[8, 2, 1, 1]	[0.050, 0.014, 0.006, 0.008]	0.8315
0.10	6	7	[111]	[0.757]	[2, 1, 1, 8]	[0.011, 0.006, 0.008, 0.052]	0.8343
0.10	6	8	[111]	[0.760]	[1, 3, 2, 1, 1, 4]	[0.006, 0.019, 0.014, 0.008, 0.006, 0.019]	0.8315
0.10	6	9	[111]	[0.760]	[1, 1, 4, 3, 2, 1]	[0.008, 0.008, 0.022, 0.019, 0.014, 0.006]	0.8370
0.10	6	10	[111]	[0.765]	[3, 1, 2, 4, 1, 1]	[0.022, 0.006, 0.014, 0.022, 0.006, 0.006]	0.8398
0.10	1	1	[110, 1]	[0.751, 0.008]	[1, 1, 1, 2, 7]	[0.008, 0.006, 0.008, 0.017, 0.047]	0.8453
0.10	1	2	[110, 1]	[0.746, 0.008]	[1, 2, 6, 2, 1]	[0.008, 0.014, 0.041, 0.017, 0.008]	0.8425
0.10	1	3	[1, 110]	[0.008, 0.754]	[1, 1, 2, 1, 6, 1]	[0.008, 0.006, 0.014, 0.008, 0.039, 0.008]	0.8453
0.10	1	4	[1, 110]	[0.008, 0.746]	[1, 2, 6, 1, 1, 1]	[0.008, 0.017, 0.039, 0.006, 0.008, 0.008]	0.8398
0.10	1	5	[1, 110]	[0.008, 0.751]	[1, 7, 1, 2, 1]	[0.006, 0.044, 0.008, 0.017, 0.008]	0.8425
0.10	1	6	[110, 1]	[0.749, 0.008]	[1, 8, 2, 1]	[0.008, 0.052, 0.017, 0.006]	0.8398
0.10	1	7	[1, 110]	[0.008, 0.743]	[2, 2, 1, 1, 6]	[0.014, 0.017, 0.008, 0.008, 0.041]	0.8398
0.10	1	8	[1, 110]	[0.008, 0.746]	[8, 2, 1, 1]	[0.050, 0.017, 0.006, 0.008]	0.8343
0.10	1	9	[1, 110]	[0.008, 0.746]	[2, 6, 1, 1, 2]	[0.014, 0.039, 0.008, 0.008, 0.017]	0.8398
0.10	1	10	[110, 1]	[0.749, 0.008]	[2, 1, 1, 2, 6]	[0.017, 0.008, 0.006, 0.014, 0.036]	0.8370
0.10	2	1	[111]	[0.779]	[1, 1, 1, 1, 5, 1, 1, 1]	[0.006, 0.008, 0.006, 0.008, 0.039, 0.008, 0.008, 0.006]	0.8674
0.10	2	2	[111]	[0.782]	[2, 1, 1, 1, 1, 1, 5]	[0.014, 0.006, 0.008, 0.006, 0.003, 0.008, 0.041]	0.8674
0.10	2	3	[111]	[0.782]	[1, 1, 1, 1, 5, 2, 1]	[0.008, 0.006, 0.006, 0.006, 0.039, 0.014, 0.008]	0.8674
0.10	2	4	[111]	[0.787]	[1, 1, 1, 2, 5, 1, 1]	[0.008, 0.008, 0.006, 0.011, 0.039, 0.006, 0.003]	0.8674
0.10	2	5	[111]	[0.787]	[2, 1, 1, 1, 1, 5, 1]	[0.011, 0.006, 0.008, 0.003, 0.008, 0.039, 0.006]	0.8674
0.10	2	6	[111]	[0.782]	[1, 5, 1, 1, 1, 2, 1]	[0.006, 0.036, 0.006, 0.006, 0.006, 0.011, 0.008]	0.8591
0.10	2	7	[111]	[0.779]	[1, 2, 5, 1, 1, 1, 1]	[0.006, 0.014, 0.036, 0.006, 0.008, 0.006, 0.008]	0.8619
0.10	2	8	[111]	[0.782]	[2, 1, 1, 1, 5, 1, 1]	[0.011, 0.008, 0.008, 0.003, 0.041, 0.008, 0.006]	0.8674
0.10	2	9	[111]	[0.779]	[1, 1, 1, 5, 2, 1, 1]	[0.008, 0.006, 0.006, 0.039, 0.014, 0.008, 0.008]	0.8674
0.10	2	10	[111]	[0.790]	[1, 1, 1, 1, 1, 1, 1, 5]	[0.008, 0.008, 0.003, 0.008, 0.006, 0.006, 0.003, 0.039]	0.8702
0.10	3	1	[111]	[0.771]	[7, 2, 2, 1]	[0.047, 0.011, 0.017, 0.006]	0.8508
0.10	3	2	[111]	[0.762]	[1, 2, 2, 7]	[0.003, 0.017, 0.011, 0.047]	0.8398
0.10	3	3	[111]	[0.768]	[2, 7, 1, 2]	[0.014, 0.047, 0.003, 0.017]	0.8481
0.10	3	4	[111]	[0.771]	[2, 1, 7, 2]	[0.017, 0.003, 0.044, 0.014]	0.8481
0.10	3	5	[111]	[0.768]	[2, 1, 2, 7]	[0.014, 0.003, 0.017, 0.047]	0.8481
0.10	3	6	[111]	[0.754]	[7, 2, 2, 1]	[0.047, 0.011, 0.017, 0.006]	0.8343
0.10	3	7	[111]	[0.751]	[2, 7, 2, 1]	[0.011, 0.047, 0.017, 0.006]	0.8315
0.10	3	8	[111]	[0.760]	[1, 7, 2, 2]	[0.003, 0.050, 0.017, 0.014]	0.8425
0.10	3	9	[111]	[0.757]	[7, 1, 2, 2]	[0.050, 0.003, 0.017, 0.017]	0.8425
0.10	3	10	[111]	[0.765]	[1, 2, 2, 7]	[0.006, 0.011, 0.017, 0.044]	0.8425
0.10	4	1	[111]	[0.782]	[1, 3, 1, 5, 2]	[0.008, 0.022, 0.006, 0.030, 0.014]	0.8619
0.10	4	2	[111]	[0.768]	[1, 3, 2, 1, 5]	[0.006, 0.022, 0.014, 0.008, 0.033]	0.8508
0.10	4	3	[111]	[0.785]	[5, 3, 1, 1, 2]	[0.030, 0.022, 0.006, 0.006, 0.014]	0.8619
0.10	4	4	[111]	[0.762]	[1, 3, 5, 2, 1]	[0.008, 0.022, 0.033, 0.014, 0.006]	0.8453
0.10	4	5	[111]	[0.773]	[1, 3, 2, 5, 1]	[0.008, 0.022, 0.014, 0.036, 0.006]	0.8591
0.10	4	6	[111]	[0.773]	[1, 1, 3, 1, 1, 5]	[0.008, 0.008, 0.022, 0.006, 0.008, 0.033]	0.8591
0.10	4	7	[111]	[0.776]	[1, 1, 1, 1, 3, 5]	[0.008, 0.006, 0.006, 0.008, 0.022, 0.033]	0.8591
0.10	4	8	[111]	[0.768]	[1, 1, 1, 5, 3, 1]	[0.008, 0.008, 0.006, 0.033, 0.022, 0.008]	0.8536
0.10	4	9	[111]	[0.757]	[5, 3, 1, 1, 1, 1]	[0.030, 0.022, 0.008, 0.008, 0.006, 0.008]	0.8398
0.10	4	10	[111]	[0.773]	[1, 1, 3, 1, 6]	[0.006, 0.008, 0.019, 0.008, 0.039]	0.8536
0.10	5	1	[111]	[0.776]	[1, 1, 1, 7, 1, 1]	[0.006, 0.008, 0.006, 0.052, 0.003, 0.006]	0.8564
0.10	5	2	[111]	[0.768]	[7, 1, 1, 1, 1, 1]	[0.050, 0.003, 0.006, 0.006, 0.008, 0.008]	0.8481
0.10	5	3	[111]	[0.768]	[2, 1, 7, 1, 1]	[0.014, 0.006, 0.047, 0.006, 0.006]	0.8453
0.10	5	4	[111]	[0.779]	[7, 1, 2, 1, 1]	[0.044, 0.006, 0.014, 0.008, 0.006]	0.8564
0.10	5	5	[111]	[0.762]	[2, 1, 7, 1, 1]	[0.014, 0.008, 0.047, 0.006, 0.008]	0.8453
0.10	5	6	[111]	[0.771]	[1, 3, 7, 1]	[0.006, 0.017, 0.044, 0.008]	0.8453
0.10	5	7	[111]	[0.757]	[3, 1, 1, 1, 1, 5]	[0.019, 0.008, 0.006, 0.008, 0.006, 0.033]	0.8370
0.10	5	8	[111]	[0.771]	[3, 1, 5, 3]	[0.019, 0.006, 0.033, 0.022]	0.8508
0.10	5	9	[111]	[0.765]	[3, 3, 5, 1]	[0.019, 0.017, 0.033, 0.008]	0.8425
0.10	5	10	[111]	[0.779]	[3, 3, 1, 1, 4]	[0.019, 0.017, 0.006, 0.008, 0.022]	0.8508
0.10	6	1	[111]	[0.765]	[1, 3, 1, 1, 1, 4, 1]	[0.006, 0.022, 0.006, 0.006, 0.008, 0.028, 0.006]	0.8453
0.10	6	2	[111]	[0.773]	[1, 1, 3, 4, 1, 1, 1]	[0.006, 0.006, 0.019, 0.025, 0.006, 0.008, 0.006]	0.8481
0.10	6	3	[111]	[0.779]	[4, 1, 1, 3, 1, 1, 1]	[0.028, 0.003, 0.006, 0.019, 0.006, 0.008, 0.006]	0.8536
0.10	6	4	[111]	[0.779]	[1, 3, 1, 1, 5, 1]	[0.006, 0.019, 0.003, 0.006, 0.036, 0.006]	0.8536
0.10	6	5	[111]	[0.776]	[1, 1, 5, 1, 3, 1]	[0.006, 0.006, 0.039, 0.006, 0.022, 0.006]	0.8591
0.10	6	6	[111]	[0.762]	[3, 1, 1, 1, 1, 5]	[0.022, 0.006, 0.006, 0.006, 0.006, 0.041]	0.8481
0.10	6	7	[111]	[0.771]	[1, 1, 3, 1, 5, 1]	[0.006, 0.003, 0.022, 0.006, 0.039, 0.006]	0.8508
0.10	6	8	[111]	[0.776]	[3, 1, 1, 5, 1, 1]	[0.019, 0.006, 0.006, 0.039, 0.006, 0.003]	0.8536
0.10	6	9	[111]	[0.768]	[1, 1, 5, 1, 3, 1]	[0.006, 0.006, 0.033, 0.003, 0.019, 0.006]	0.8398
0.10	6	10	[111]	[0.768]	[3, 5, 1, 1, 1, 1]	[0.019, 0.036, 0.006, 0.006, 0.006, 0.006]	0.8453
0.10	1	1	[111]	[0.773]	[1, 7, 2, 1, 1]	[0.008, 0.041, 0.014, 0.006, 0.008]	0.8508
0.10	1	2	[111]	[0.779]	[1, 1, 1, 7, 1, 1]	[0.006, 0.006, 0.008, 0.044, 0.006, 0.006]	0.8536
0.10	1	3	[111]	[0.782]	[1, 1, 1, 8, 1]	[0.006, 0.006, 0.008, 0.050, 0.006]	0.8564
0.10	1	4	[111]	[0.787]	[1, 1, 1, 8, 1]	[0.008, 0.006, 0.006, 0.052, 0.003]	0.8619
